nRun	rsrp1	rsrq1	rsrp2	rsrq2	rsrp3	rsrq3	region	throughput
41	-96.2161	-8.746080000000001	-92.2146	-4.7445900000000005	-102.57799999999999	-15.1082	inferior	3.7612466035553194
42	-96.5923	-8.94938	-100.677	-13.0342	-92.5563	-4.91338	superior	3.74601802316754
43	-96.3447	-8.61329	-92.4373	-4.7059	-103.986	-16.2545	inferior	3.949550363946251
44	-97.1776	-9.18858	-99.1683	-11.1793	-93.1758	-5.1868	superior	3.781025328208996
45	-98.4615	-9.97406	-96.348	-7.86048	-94.7695	-6.28207	superior	4.019316363264667
46	-96.2904	-8.64533	-92.3514	-4.70636	-103.711	-16.0659	inferior	3.9244215312929818
47	-96.5717	-8.951880000000001	-100.771	-13.1514	-92.5144	-4.89459	superior	3.7471335701799573
48	-96.2486	-8.68174	-92.2763	-4.70944	-103.397	-15.8296	inferior	3.7953953024000766
49	-98.3041	-9.80669	-94.7413	-6.243869999999999	-96.521	-8.023610000000001	central	2.4586564539450544
50	-96.6758	-8.91597	-92.775	-5.01518	-100.262	-12.5018	central	3.098705149358485
51	-96.5194	-8.43335	-92.8412	-4.75516	-104.728	-16.6424	inferior	3.9912681873114657
52	-96.93299999999999	-9.08348	-92.9142	-5.064690000000001	-99.7448	-11.8953	central	2.978056001950199
53	-98.2985	-9.84455	-94.5157	-6.061730000000001	-96.7406	-8.28657	central	2.518395644864303
54	-96.2905	-8.863339999999999	-92.1405	-4.71339	-102.37799999999999	-14.9506	inferior	3.7632714341684586
55	-97.5934	-9.38376	-93.6603	-5.45061	-98.2375	-10.0279	central	2.784316727923686
56	-96.5223	-8.94938	-92.4307	-4.85778	-100.986	-13.413	inferior	3.349547995527871
57	-96.3465	-8.77847	-92.2244	-4.6564	-103.59700000000001	-16.0286	inferior	3.8364758934206558
58	-96.9931	-8.986469999999999	-93.2435	-5.23691	-99.3172	-11.3106	central	2.8945464918072004
59	-97.4244	-9.18777	-98.3334	-10.0968	-93.7449	-5.50824	superior	3.8002095973857712
60	-96.2361	-8.654160000000001	-92.3016	-4.71965	-103.42299999999999	-15.8413	inferior	3.7904790020514456
61	-97.3959	-9.28002	-98.6582	-10.5424	-93.4415	-5.32567	superior	3.8019319496859145
62	-98.6187	-10.1275	-96.0543	-7.563110000000001	-94.9254	-6.43425	superior	4.044781895914365
63	-98.3048	-9.80185	-94.7741	-6.27119	-96.4889	-7.98596	central	2.4563957903449674
64	-97.7918	-9.43728	-94.0708	-5.71631	-97.6474	-9.29292	central	2.694817638618208
65	-96.5686	-8.952069999999999	-100.785	-13.1689	-92.5084	-4.89191	superior	3.7406726301426056
66	-96.6725	-8.91801	-100.279	-12.5245	-92.7648	-5.01032	superior	3.7441231168413815
67	-96.1642	-8.65851	-92.2767	-4.77107	-102.711	-15.2053	inferior	3.766087318286438
68	-96.6412	-8.93449	-100.441	-12.734000000000002	-92.6743	-4.96756	superior	3.7380056502713734
69	-97.7988	-9.40367	-94.205	-5.8098	-97.5136	-9.11844	central	2.5886504279131004
70	-96.9584	-9.045860000000001	-99.5723	-11.6597	-93.04299999999999	-5.13042	superior	3.7611341768519595
71	-98.1372	-9.68485	-96.9417	-8.4893	-94.4638	-6.01145	superior	3.978396425962989
72	-97.6116	-9.31225	-97.9846	-9.6853	-93.9062	-5.60685	superior	3.9257683583914935
73	-96.3112	-8.6949	-92.3038	-4.68745	-103.669	-16.0526	inferior	3.923320269018867
74	-96.3428	-8.76975	-92.2326	-4.659590000000001	-103.604	-16.0312	inferior	3.9234426009709678
75	-96.9802	-9.00959	-99.4147	-11.444	-93.1655	-5.1949	superior	3.7619213049470677
76	-97.7866	-9.46165	-97.7395	-9.4146	-93.9787	-5.65375	superior	3.9493024409075645
77	-96.4625	-8.93147	-92.3576	-4.82662	-101.227	-13.6963	inferior	3.4537128427524495
78	-97.969	-9.548789999999999	-94.3074	-5.887169999999999	-97.2506	-8.83032	central	2.6076952728327774
79	-97.2167	-9.09341	-93.4811	-5.35784	-98.8168	-10.6936	central	2.8120689847830316
80	-98.1391	-9.67351	-96.8849	-8.41933	-94.522	-6.05644	superior	3.9751286563194026
81	-96.4276	-8.63596	-92.478	-4.68635	-104.198	-16.4062	inferior	3.967232817628346
82	-98.6188	-10.127	-96.0492	-7.55742	-94.9306	-6.43886	superior	4.044781895914365
83	-96.5542	-8.95234	-100.84899999999999	-13.247	-92.4822	-4.88031	superior	3.7454604987036797
84	-97.204	-9.12594	-93.375	-5.29701	-98.93700000000001	-10.8589	central	2.8194411269776896
85	-96.2415	-8.74987	-92.2958	-4.80419	-101.986	-14.494000000000002	inferior	3.7480264862787855
86	-96.9661	-9.03342	-93.0851	-5.1523699999999995	-99.5175	-11.5848	central	2.928840070666937
87	-97.2169	-9.09291	-98.815	-10.690999999999999	-93.4827	-5.35879	superior	3.7823892073550147
88	-96.473	-8.93575	-92.3684	-4.83116	-101.186	-13.6487	inferior	3.434200873362445
89	-98.3001	-9.83424	-94.5727	-6.10686	-96.6852	-8.219389999999999	central	2.5085050138553857
90	-96.223	-8.75737	-92.2069	-4.74135	-102.56	-15.0946	inferior	3.7623712403682563
91	-97.7877	-9.45637	-97.7198	-9.38851	-93.9983	-5.666980000000001	superior	3.948311059929524
92	-96.2784	-8.61663	-92.3792	-4.71748	-103.735	-16.0733	inferior	3.8364758934206558
93	-98.4614	-9.97476	-96.3529	-7.8662	-94.7645	-6.27779	superior	4.019573154954144
94	-96.6742	-8.91693	-100.27	-12.5124	-92.7702	-5.0129	superior	3.7441231168413815
95	-96.1856	-8.681000000000001	-92.3206	-4.8160099999999995	-102.152	-14.6475	inferior	3.74601802316754
96	-96.2493	-8.799719999999999	-92.1792	-4.72964	-102.49	-15.0407	inferior	3.7612466035553194
97	-97.9634	-9.57915	-97.3779	-8.99364	-94.178	-5.79373	superior	3.957749322966304
98	-96.3396	-8.85028	-92.2882	-4.79893	-101.671	-14.1819	inferior	3.7480264862787855
99	-96.65	-8.93045	-100.396	-12.6769	-92.6983	-4.97882	superior	3.7427866897091233
100	-96.37899999999999	-8.69994	-92.3511	-4.67203	-103.92	-16.2413	inferior	3.9514107793908444
101	-96.5263	-8.95002	-92.4367	-4.86037	-100.969	-13.3927	inferior	3.353029019106243
102	-96.6716	-8.91855	-92.7621	-5.00901	-100.28399999999999	-12.5306	central	3.108042978881067
103	-96.4338	-8.91756	-92.3324	-4.81615	-101.337	-13.8205	inferior	3.497478118025077
104	-96.2362	-8.745619999999999	-92.2007	-4.71011	-102.995	-15.5042	inferior	3.776372820009544
105	-96.2902	-8.64472	-92.352	-4.7066	-103.711	-16.066	inferior	3.8363589244826835
106	-96.6964	-8.90152	-92.84299999999999	-5.0480599999999995	-100.149	-12.3539	central	3.0622063225523837
107	-96.3288	-8.57306	-92.4777	-4.72198	-104.016	-16.2603	inferior	3.9507904461978516
108	-96.7268	-8.87551	-92.9546	-5.103280000000001	-99.9744	-12.1231	central	3.024367685692379
109	-96.6669	-8.92135	-100.30799999999999	-12.5628	-92.7478	-5.00221	superior	3.7436775351000118
110	-96.2037	-8.68148	-92.2542	-4.7320199999999994	-103.071	-15.5485	inferior	3.7770529595576647
111	-97.2092	-9.112689999999999	-93.41799999999999	-5.32145	-98.8881	-10.7916	central	2.80811531586218
112	-96.9263	-9.09265	-99.7887	-11.9551	-92.8824	-5.04875	superior	3.7610217568694497
113	-96.3027	-8.50723	-92.5443	-4.74881	-104.065	-16.2691	inferior	3.951162622738734
114	-97.2053	-9.12257	-93.3859	-5.30319	-98.9245	-10.8418	central	2.816222882222734
115	-96.6197	-8.942639999999999	-100.54700000000001	-12.8701	-92.619	-4.94193	superior	3.7423414259839216
116	-96.7192	-8.88257	-92.9253	-5.08861	-100.01899999999999	-12.1825	central	3.0396370672599593
117	-97.7991	-9.40248	-94.2099	-5.813280000000001	-97.5087	-9.112110000000001	central	2.6689246171467356
118	-97.3935	-9.28738	-93.4183	-5.3122300000000005	-98.6835	-10.5774	central	2.7898108999159703
119	-97.4241	-9.1888	-98.3371	-10.1018	-93.7414	-5.50605	superior	3.8013576588089215
120	-97.17399999999999	-9.19657	-93.1507	-5.1733	-99.198	-11.2205	central	2.864172666455735
121	-96.5969	-8.65305	-92.6072	-4.66337	-104.59899999999999	-16.6547	inferior	3.999132980126557
122	-98.7731	-10.2864	-95.1103	-6.62362	-95.7347	-7.24804	central	1.25176704
123	-96.2693	-8.80948	-92.149	-4.68914	-102.916	-15.456	inferior	3.7843230546675044
124	-96.5614	-8.95233	-92.4951	-4.8859900000000005	-100.81700000000001	-13.2082	central	3.3029483410331797
125	-96.9408	-9.072410000000001	-92.9524	-5.08397	-99.6928	-11.8244	central	2.969832259830867
126	-96.64299999999999	-8.93368	-100.432	-12.7222	-92.6792	-4.96986	superior	3.7406726301426056
127	-98.6197	-10.1192	-95.9671	-7.46661	-95.0143	-6.5138	superior	4.034018979225443
128	-97.7928	-9.43253	-94.0892	-5.7289900000000005	-97.62899999999999	-9.26874	central	2.686532442299891
129	-96.9553	-9.05071	-93.0265	-5.12188	-99.594	-11.6894	central	2.9522729352363033
130	-96.9845	-9.00206	-99.3827	-11.4003	-93.1909	-5.2085	superior	3.762821283429176
131	-96.4922	-8.94233	-92.3904	-4.84045	-101.109	-13.5595	inferior	3.397022758564834
132	-97.7902	-9.44442	-94.0434	-5.69757	-97.6748	-9.32893	central	2.7052462752348805
133	-97.2137	-9.10102	-93.4561	-5.34336	-98.845	-10.7322	central	2.802424048053345
134	-96.26	-8.81658	-92.1686	-4.72516	-102.461	-15.017999999999999	inferior	3.7651857769957897
135	-97.9662	-9.563839999999999	-97.3148	-8.91244	-94.242	-5.83964	superior	3.9573759045920727
136	-96.2619	-8.79537	-92.1603	-4.6937	-102.934	-15.467	inferior	3.776372820009544
137	-98.3007	-9.82966	-94.5989	-6.12785	-96.6597	-8.18862	central	2.4884627706911893
138	-96.3417	-8.85208	-92.2886	-4.79905	-101.664	-14.1747	inferior	3.7350098399779155
139	-96.9319	-9.085	-92.90899999999999	-5.06205	-99.75200000000001	-11.9051	central	2.9754504115717766
140	-97.208	-9.11565	-98.899	-10.8066	-93.4084	-5.31596	superior	3.783185258011852
141	-96.4539	-8.92765	-92.3494	-4.8232	-101.26	-13.7342	inferior	3.470573698146514
142	-96.6253	-8.940760000000001	-92.6328	-4.94832	-100.52	-12.8353	central	3.166866836131175
143	-96.6332	-8.93784	-100.48100000000001	-12.7856	-92.65299999999999	-4.9576400000000005	superior	3.7423414259839216
144	-96.1862	-8.543289999999999	-92.4049	-4.76195	-103.52799999999999	-15.8846	inferior	3.7960823118764533
145	-96.3753	-8.879480000000001	-92.2984	-4.80261	-101.54799999999999	-14.0526	inferior	3.5957238505919564
146	-98.6197	-10.1192	-95.9671	-7.46656	-95.0144	-6.51385	superior	4.039847176293062
147	-96.3628	-8.464830000000001	-92.6546	-4.75663	-104.314	-16.4161	inferior	3.9727440635744524
148	-96.2467	-8.76591	-92.1841	-4.70335	-102.97	-15.4893	inferior	3.7772797271862175
149	-97.0024	-8.96879	-99.2437	-11.21	-93.3033	-5.26965	superior	3.7645099042336447
150	-97.6139	-9.30291	-97.9501	-9.63912	-93.94	-5.62905	superior	3.929078129342297
151	-96.6025	-8.94732	-92.5788	-4.92357	-100.62899999999999	-12.9739	central	3.126733096439132
152	-98.9245	-10.4557	-95.4256	-6.95678	-95.2861	-6.81733	superior	4.093734586979862
153	-97.4204	-9.201139999999999	-93.6993	-5.47995	-98.3817	-10.1624	central	2.735885510772502
154	-98.3032	-9.8125	-96.55799999999999	-8.067269999999999	-94.7033	-6.2125900000000005	superior	3.9940553769191944
155	-98.7734	-10.2839	-95.1575	-6.6680399999999995	-95.6881	-7.19857	central	1.24342656
156	-98.7731	-10.286	-95.1175	-6.63037	-95.7276	-7.240469999999999	central	1.2509561599999999
157	-97.1862	-9.16875	-99.0948	-11.0774	-93.2383	-5.22081	superior	3.784550696130004
158	-97.2237	-9.074860000000001	-98.74799999999999	-10.5992	-93.5426	-5.3938	superior	3.7820481453316943
159	-97.7915	-9.438310000000001	-97.6513	-9.29809	-94.0668	-5.7136	superior	3.942620264388957
160	-97.4145	-9.22075	-98.4517	-10.258	-93.6334	-5.43966	superior	3.7995210933324475
161	-97.4175	-9.21077	-98.4162	-10.2095	-93.6668	-5.45999	superior	3.8006687387297586
162	-96.9864	-8.99865	-99.3683	-11.3806	-93.2024	-5.21468	superior	3.7607969370645673
163	-98.1417	-9.65742	-96.7994	-8.31511	-94.6095	-6.12523	superior	3.9797805617846036
164	-96.5197	-8.67116	-92.5121	-4.66351	-104.38799999999999	-16.539	inferior	3.9830559872875586
165	-96.4401	-8.9209	-92.3374	-4.818219999999999	-101.31299999999999	-13.7938	inferior	3.4960205156131483
166	-97.9719	-9.53323	-97.1813	-8.74268	-94.3778	-5.93916	superior	3.9578738114185597
167	-96.5906	-8.94967	-92.5526	-4.91174	-100.685	-13.0441	central	3.132571200955985
168	-96.72	-8.88189	-92.9281	-5.09004	-100.015	-12.1767	central	3.042209225576689
169	-97.4228	-9.19321	-93.7262	-5.49664	-98.3532	-10.1236	central	2.7288249467048065
170	-96.9764	-9.01619	-93.1433	-5.18304	-99.4429	-11.4827	central	2.90913529897279
171	-97.9708	-9.539069999999999	-94.351	-5.9193	-97.2076	-8.7759	central	2.517387964148528
172	-96.6796	-8.91346	-92.7873	-5.02108	-100.241	-12.4746	central	3.0957319293411407
173	-98.4619	-9.97119	-94.7907	-6.300009999999999	-96.3273	-7.83657	central	2.333059290120538
174	-96.3634	-8.87021	-92.2942	-4.80101	-101.59	-14.0968	inferior	3.672331098730158
175	-96.6626	-8.92382	-100.331	-12.5922	-92.7349	-4.99606	superior	3.7406726301426056
176	-96.9583	-9.04603	-99.5731	-11.6608	-93.0424	-5.13011	superior	3.7610217568694497
177	-96.2048	-8.72752	-92.2273	-4.75	-102.60700000000001	-15.1301	inferior	3.7612466035553194
178	-96.6737	-8.91724	-100.272	-12.5159	-92.7686	-5.01215	superior	3.743232059401876
179	-98.9245	-10.4558	-95.2776	-6.8089699999999995	-95.434	-6.96537	central	1.2157408
180	-98.6185	-10.1291	-94.9106	-6.421130000000001	-96.0688	-7.579330000000001	central	2.3548908822434034
181	-96.2042	-8.58336	-92.3673	-4.74643	-103.49	-15.8695	inferior	3.7960823118764533
182	-96.5754	-8.95158	-100.75399999999999	-13.1305	-92.5217	-4.89784	superior	3.7478032173610014
183	-96.412	-8.90485	-92.3171	-4.80994	-101.417	-13.9101	inferior	3.5238256866089204
184	-96.361	-8.65452	-92.3962	-4.68965	-103.955	-16.2484	inferior	3.9514107793908444
185	-97.6087	-9.323789999999999	-93.865	-5.580030000000001	-98.0268	-9.74189	central	2.7456162132793356
186	-96.2514	-8.76119	-92.2929	-4.80274	-101.955	-14.4652	inferior	3.7480264862787855
187	-96.3276	-8.83954	-92.2865	-4.79841	-101.711	-14.2233	inferior	3.7471335701799573
188	-96.2977	-8.66271	-92.3347	-4.69969	-103.696	-16.0613	inferior	3.8363589244826835
189	-96.2676	-8.59083	-92.4043	-4.72757	-103.756	-16.0797	inferior	3.8227226190223025
190	-97.4023	-9.260010000000001	-93.5052	-5.36295	-98.5893	-10.447000000000001	central	2.7705839999471555
191	-96.7226	-8.87951	-99.9995	-12.1565	-92.9381	-5.095	superior	3.7404502364737326
192	-98.9244	-10.4561	-95.2616	-6.79321	-95.45	-6.98165	central	1.22199616
193	-98.3016	-9.8235	-94.6352	-6.15707	-96.6244	-8.14625	central	2.480466803343321
194	-96.4108	-8.90413	-92.3164	-4.80966	-101.421	-13.9147	inferior	3.5297567051259398
195	-96.5234	-8.44471	-92.8289	-4.75025	-104.72200000000001	-16.6431	inferior	3.9993871992015793
196	-97.4229	-9.19293	-93.7272	-5.49726	-98.3521	-10.1221	central	2.7209237755433024
197	-96.5699	-8.57597	-92.6887	-4.69482	-104.64399999999999	-16.6506	inferior	3.9950698657929076
198	-98.7739	-10.2795	-95.2694	-6.77505	-95.5772	-7.08285	central	1.22628224
199	-97.964	-9.5761	-94.1905	-5.8026800000000005	-97.3655	-8.97766	central	2.638424860036485
200	-96.3114	-8.52933	-92.5219	-4.739730000000001	-104.04799999999999	-16.2662	inferior	3.949178491059911
201	-96.5658	-8.9522	-100.79799999999999	-13.184000000000001	-92.5032	-4.88961	superior	3.7380056502713734
202	-96.6896	-8.90656	-100.186	-12.4034	-92.8199	-5.03684	superior	3.7441231168413815
203	-96.2686	-8.829889999999999	-92.1604	-4.72171	-102.43799999999999	-14.9995	inferior	3.771957876561418
204	-96.5601	-8.95235	-100.823	-13.2151	-92.4927	-4.8849599999999995	superior	3.7480264862787855
205	-97.0006	-8.97222	-99.2579	-11.2295	-93.2917	-5.26325	superior	3.765411121850789
206	-96.2116	-8.738669999999999	-92.2196	-4.74673	-102.59	-15.117	inferior	3.7651857769957897
207	-96.272	-8.81465	-92.1448	-4.68748	-102.90899999999999	-15.4519	inferior	3.7772797271862175
208	-96.5564	-8.95236	-92.4861	-4.88204	-100.839	-13.235	central	3.304596475562676
209	-96.5765	-8.95149	-100.75	-13.1247	-92.5237	-4.89876	superior	3.7471335701799573
210	-98.7731	-10.2864	-95.111	-6.62432	-95.734	-7.247260000000001	central	1.25176704
211	-96.1584	-8.590589999999999	-92.3323	-4.764480000000001	-103.17299999999999	-15.6055	inferior	3.7770529595576647
212	-96.2837	-8.62923	-92.367	-4.71258	-103.72399999999999	-16.07	inferior	3.9244215312929818
213	-96.3277	-8.83961	-92.2865	-4.79841	-101.711	-14.2231	inferior	3.744345947490113
214	-97.9648	-9.57167	-97.3474	-8.95425	-94.209	-5.81586	superior	3.955758572232474
215	-97.3968	-9.277000000000001	-98.6479	-10.527999999999999	-93.4511	-5.33122	superior	3.8014725031042205
216	-96.9586	-9.04562	-93.0438	-5.13084	-99.5712	-11.6583	central	2.9476392718345394
217	-96.3401	-8.60171	-92.4489	-4.7105	-103.995	-16.2562	inferior	3.9496743371387497
218	-97.20700000000001	-9.11817	-98.9083	-10.8194	-93.4002	-5.3112900000000005	superior	3.7822755131792922
219	-96.7227	-8.879430000000001	-92.9384	-5.0951699999999995	-99.999	-12.1558	central	3.04603876627668
220	-96.96600000000001	-9.03358	-93.0845	-5.152080000000001	-99.5182	-11.5857	central	2.925435400736072
221	-97.4282	-9.17485	-93.7897	-5.5363	-98.2862	-10.0328	central	2.7207472755578617
222	-96.1209	-8.58254	-92.3343	-4.79587	-102.81700000000001	-15.279000000000002	inferior	3.7632714341684586
223	-97.2059	-9.12116	-98.9193	-10.8346	-93.3905	-5.30579	superior	3.783526525163048
224	-96.2715	-8.78348	-92.2884	-4.80037	-101.89299999999999	-14.4048	inferior	3.7471335701799573
225	-98.4615	-9.97448	-94.7665	-6.27953	-96.3509	-7.8638699999999995	central	2.430771311172972
226	-96.9353	-9.080219999999999	-92.9255	-5.07037	-99.7293	-11.8742	central	2.979466330113823
227	-98.1343	-9.70256	-94.3776	-5.945819999999999	-97.0258	-8.59407	central	2.570669281686688
228	-96.9798	-9.01024	-93.1633	-5.19373	-99.4175	-11.4478	central	2.906716009341844
229	-97.6089	-9.32294	-98.0237	-9.73775	-93.868	-5.581980000000001	superior	3.929078129342297
230	-97.2247	-9.07221	-93.5515	-5.39904	-98.7381	-10.5856	central	2.7859812111564017
231	-96.3045	-8.88419	-92.1288	-4.70846	-102.339	-14.9182	inferior	3.771166543287948
232	-96.6995	-8.89912	-92.8537	-5.053319999999999	-100.131	-12.3311	central	3.0681049448941775
233	-97.1918	-9.155610000000001	-99.0463	-11.0101	-93.28	-5.24378	superior	3.782730330897274
234	-98.7738	-10.2804	-95.241	-6.74758	-95.6055	-7.11211	central	1.23126336
235	-98.1394	-9.671339999999999	-96.8737	-8.405610000000001	-94.5334	-6.06536	superior	3.9739987556493204
236	-96.1794	-8.68474	-92.2576	-4.7628900000000005	-102.67200000000001	-15.1777	inferior	3.7612466035553194
237	-96.3177	-8.903360000000001	-92.1185	-4.70413	-102.301	-14.887	inferior	3.766087318286438
238	-97.7919	-9.43661	-94.0734	-5.71809	-97.6448	-9.2895	central	2.6906686624612424
239	-96.4859	-8.94033	-92.3828	-4.83723	-101.135	-13.5894	inferior	3.421128874388254
240	-96.5808	-8.951039999999999	-92.5323	-4.90259	-100.73	-13.1005	central	3.2382613171371952
241	-97.9658	-9.56617	-94.2321	-5.8325	-97.3246	-8.92494	central	2.6343924294447705
242	-97.416	-9.21592	-98.4346	-10.2345	-93.6495	-5.44945	superior	3.801702212513709
243	-96.2186	-8.722560000000001	-92.3044	-4.808330000000001	-102.055	-14.5589	inferior	3.7434547839979055
244	-98.7731	-10.2859	-95.1185	-6.63132	-95.7266	-7.23941	central	1.2402988799999999
245	-96.3544	-8.862910000000001	-92.2916	-4.80006	-101.62100000000001	-14.1294	inferior	3.695085616287504
246	-98.3008	-9.82943	-94.6003	-6.128909999999999	-96.6584	-8.18706	central	2.4877247924080663
247	-96.5822	-8.95087	-92.5352	-4.9039	-100.72399999999999	-13.0923	central	3.2346817480719796
248	-97.4057	-9.24916	-98.5515	-10.395	-93.5402	-5.38366	superior	3.8020468286846083
249	-96.3263	-8.73058	-92.2698	-4.6740699999999995	-103.63799999999999	-16.0426	inferior	3.9234426009709678
250	-96.62799999999999	-8.939810000000001	-100.507	-12.8185	-92.6396	-4.95144	superior	3.7441231168413815
251	-96.3702	-8.48427	-92.6344	-4.74844	-104.301	-16.4151	inferior	3.9669826697478805
252	-96.2476	-8.54309	-92.45100000000001	-4.746519999999999	-103.796	-16.0912	inferior	3.8177353143744823
253	-96.3325	-8.582460000000001	-92.4682	-4.7182	-104.009	-16.2589	inferior	3.9504183397640973
254	-96.9936	-8.985560000000001	-93.2466	-5.238580000000001	-99.3134	-11.3054	central	2.878324461697178
255	-97.421	-9.19924	-98.3749	-10.1531	-93.7057	-5.4839400000000005	superior	3.8020468286846083
256	-96.9269	-9.09185	-99.7848	-11.9498	-92.8851	-5.05013	superior	3.758662488686296
257	-96.3817	-8.70663	-92.3445	-4.66946	-103.915	-16.2402	inferior	3.9505423674535574
258	-98.4609	-9.9785	-94.7379	-6.2554099999999995	-96.3788	-7.89635	central	2.4189487889792205
259	-96.22399999999999	-8.72916	-92.3021	-4.80725	-102.039	-14.5437	inferior	3.7471335701799573
260	-96.9638	-9.037239999999999	-93.0721	-5.1456	-99.5342	-11.6077	central	2.9306136328171397
261	-96.2291	-8.499039999999999	-92.4944	-4.76431	-103.831	-16.1013	inferior	3.8227226190223025
262	-98.9245	-10.4553	-95.3922	-6.923039999999999	-95.3196	-6.8504	superior	4.099603166845861
263	-96.3797	-8.50945	-92.6082	-4.7379	-104.28399999999999	-16.4137	inferior	3.9738732507792736
264	-97.5944	-9.37991	-98.2243	-10.0098	-93.67299999999999	-5.458469999999999	superior	3.929937129311234
265	-96.1898	-8.653880000000001	-92.2777	-4.741709999999999	-103.102	-15.5665	inferior	3.7843230546675044
266	-96.9137	-9.108880000000001	-99.8689	-12.0641	-92.8253	-5.02048	superior	3.759560908420006
267	-98.62	-10.1168	-95.0433	-6.5401	-95.9386	-7.435389999999999	central	2.3424406753156815
268	-96.9529	-9.05448	-93.0137	-5.11528	-99.6109	-11.7125	central	2.951857386498261
269	-97.9694	-9.5468	-97.2419	-8.819280000000001	-94.3162	-5.89365	superior	3.955758572232474
270	-97.4236	-9.19059	-98.3437	-10.1107	-93.7352	-5.50221	superior	3.794479676488416
271	-96.9276	-9.090910000000001	-99.7803	-11.9436	-92.8884	-5.051769999999999	superior	3.762146259205109
